new_order_id,mid_index,Location_idx,Location,Copyright,Date,Latitude,Longitude,PanoID,Status,Google Location,dist_to_start_point,points,SWEREF_Points
54,1548,168657,"59.32945135471698, 18.07709113619403",© Google,2022-08,59.32931977548517,18.07740198293246,vAsAt_lV6m2syE1s7CNewg,OK,"59.32931977548517, 18.07740198293246",669.6023054880351,POINT (18.07740198293246 59.32931977548517),POINT (675072.2764436912 6580768.320384768)
55,1564,124355,"59.32119287924528, 18.06002583208955",© Google,2023-03,59.32123549929111,18.06004074070403,OrGAuwX0I58eWhfTv0_WNw,OK,"59.32123549929111, 18.06004074070403",671.6920744899711,POINT (18.06004074070403 59.32123549929111),POINT (674126.4169381291 6579823.179985041)
56,1576,129475,"59.320115686792455, 18.061961072761193",© Google,2022-09,59.32024841472544,18.06190763428814,SIB96m3fgxrKTV_BN7VzEQ,OK,"59.32024841472544, 18.06190763428814",672.6648455233217,POINT (18.06190763428814 59.32024841472544),POINT (674237.6541059422 6579718.220826756)
57,1611,157863,"59.31912826037736, 18.073044723880596",© Google,2016-04,59.31918723337612,18.07319362213489,QN9TEPLOKAUJs53bxzVVEQ,OK,"59.31918723337612, 18.07319362213489",676.6517132078865,POINT (18.07319362213489 59.31918723337612),POINT (674885.0401705205 6579629.719570817)
58,1643,133034,"59.3302592490566, 18.06336852052239",© Google,2022-11,59.33024761227914,18.06346826968122,I4dgdRaBlMzHSdfjWmPY5Q,OK,"59.33024761227914, 18.06346826968122",680.0612680745077,POINT (18.06346826968122 59.33024761227914),POINT (674275.2031517802 6580835.014656493)
59,1666,173499,"59.328463928301886, 18.07902637686567",© Google,2023-03,59.32841141999668,18.0792185375404,N_a8eoOgvT9M6LXqiIQGbA,OK,"59.32841141999668, 18.0792185375404",682.0674419163121,POINT (18.0792185375404 59.32841141999668),POINT (675180.2487507712 6580672.017395265)
60,1671,179421,"59.324783520754714, 18.08131347947761",© Google,2022-08,59.32476905508565,18.08134720010808,yA7emBjbZit1xUSi0oBG9Q,OK,"59.32476905508565, 18.08134720010808",682.9867370797164,POINT (18.08134720010808 59.32476905508565),POINT (675320.0610213384 6580272.301405436)
61,1763,151926,"59.331067143396226, 18.070757621268655",© Google,2012-07,59.331135310814,18.07082353855662,yaugiVZv-yFbeDbgxNiCIA,OK,"59.331135310814, 18.07082353855662",695.6767968180438,POINT (18.07082353855662 59.331135310814),POINT (674688.8809073936 6580953.072977902)
62,1805,164599,"59.33034901509434, 18.075507757462688",© Google,2022-08,59.33036651321883,18.07554303512222,mW9DkcVrSJGJgDRwrEF6rw,OK,"59.33036651321883, 18.07554303512222",700.072221530961,POINT (18.07554303512222 59.33036651321883),POINT (674961.1873115343 6580879.914046993)
63,1817,129055,"59.32981041886792, 18.061785141791045",© Google,2022-11,59.32989563466483,18.06176209052467,Ge59e-XyZ19B2jyhWEQZcQ,OK,"59.32989563466483, 18.06176209052467",701.5381510477503,POINT (18.06176209052467 59.32989563466483),POINT (674179.988044915 6580791.381890954)
64,1831,120579,"59.328015098113205, 18.05861838432836",© Google,2023-03,59.32811097126323,18.05867613582934,eCiRJhc-Zn1kogXmbz6w7w,OK,"59.32811097126323, 18.05867613582934",703.3809819201439,POINT (18.05867613582934 59.32811097126323),POINT (674013.6393720997 6580584.715314081)
65,1850,144621,"59.31858966415094, 18.067942725746267",© Google,2023-03,59.31862902627851,18.06826448865808,asMBIIT7D9ttXVnHjlGqLw,OK,"59.31862902627851, 18.06826448865808",705.3118303959117,POINT (18.06826448865808 59.31862902627851),POINT (674607.5321570447 6579554.667157116)
66,1887,151876,"59.31867943018868, 18.070757621268655",© Google,2023-03,59.31861963395869,18.0708738007197,IkCQJrTXgFf8PwakecqQSQ,OK,"59.31861963395869, 18.0708738007197",708.9103433738187,POINT (18.0708738007197 59.31861963395869),POINT (674756.0018644806 6579560.467018782)
67,1938,131685,"59.319397558490564, 18.06284072761194",© Google,2023-03,59.31943466888631,18.06295215058408,LP4x7CWjxMPn4p9-ZbXu8w,OK,"59.31943466888631, 18.06295215058408",713.0708093109123,POINT (18.06295215058408 59.31943466888631),POINT (674301.2323383393 6579630.400981695)
68,2037,156516,"59.3312466754717, 18.07251693097015",© Google,2021-09,59.33121127644472,18.07257395496366,x-U78av1wKRgdC5qw7MybA,OK,"59.33121127644472, 18.07257395496366",722.7130235071425,POINT (18.07257395496366 59.33121127644472),POINT (674788.0201387048 6580966.120368286)
69,2152,181485,"59.32639930943396, 18.08201720335821",© Google,2022-06,59.32636903170162,18.08199600768847,Q4OgXgsKPZjijDIMURjUMA,OK,"59.32636903170162, 18.08199600768847",737.1561609665406,POINT (18.08199600768847 59.32636903170162),POINT (675348.7142057837 6580452.053607881)
70,2167,163090,"59.31885896226415, 18.074979964552238",© Google,2022-06,59.31896417362345,18.07499786264566,010LLh97H6tGRuLb0Adq-A,OK,"59.31896417362345, 18.07499786264566",738.7535338533735,POINT (18.07499786264566 59.31896417362345),POINT (674988.8129073794 6579609.637677091)
71,2217,135200,"59.331067143396226, 18.064248175373134",© Google,2012-07,59.33107697047834,18.06416426684152,1DejXod9jG-Qg-tL0F0hZw,OK,"59.33107697047834, 18.06416426684152",745.23409478405,POINT (18.06416426684152 59.33107697047834),POINT (674310.5296892894 6580929.127519804)
72,2219,173508,"59.32927182264151, 18.07902637686567",© Google,2011-06,59.32931107251355,18.07926139683103,eK9k0BEE1_OdP6rwQHbIlw,OK,"59.32931107251355, 18.07926139683103",745.3917345957107,POINT (18.07926139683103 59.32931107251355),POINT (675178.0537629243 6580772.2426793855)
73,2227,139613,"59.33142620754717, 18.066007485074625",© Google,2011-05,59.33140582537921,18.06592752722729,UTNAEJ1Pg9km1IobZwFU4w,OK,"59.33140582537921, 18.06592752722729",746.7203985600585,POINT (18.06592752722729 59.33140582537921),POINT (674409.1040721607 6580970.340086705)
74,2242,121533,"59.3290025245283, 18.058970246268657",© Google,2023-03,59.32909326986641,18.05903347427143,zCZYPWN264aHZVf1pvRCKw,OK,"59.32909326986641, 18.05903347427143",748.1993745156877,POINT (18.05903347427143 59.32909326986641),POINT (674028.935283319 6580694.959570581)
75,2258,122928,"59.320295218867926, 18.059498039179104",© Google,2022-09,59.32032625105769,18.05975478619959,VZZuOFrPqSW1gsL29X-m0A,OK,"59.32032625105769, 18.05975478619959",749.9853201265103,POINT (18.05975478619959 59.32032625105769),POINT (674114.8041197103 6579721.2511230875)
76,2269,182526,"59.32397562641509, 18.082369065298508",© Google,2022-08,59.32396298949904,18.08240684673891,sDFICWg8S4N6zYrCOYUl-w,OK,"59.32396298949904, 18.08240684673891",750.9319639406325,POINT (18.08240684673891 59.32396298949904),POINT (675384.4784091292 6580185.3939350005)
77,2272,179949,"59.32738673584905, 18.081489410447762",© Google,2019-11,59.32737962238144,18.08165022743554,rid8eHWCzK8AAARFCkCygg,OK,"59.32737962238144, 18.08165022743554",751.0419615134368,POINT (18.08165022743554 59.32737962238144),POINT (675323.8429957905 6580563.60050052)
78,2277,183080,"59.325501649056605, 18.082544996268656",© Google,2023-03,59.32550758311136,18.08251079752092,-VMj792gLRhxJiUdrdiNKQ,OK,"59.32550758311136, 18.08251079752092",751.6775436391881,POINT (18.08251079752092 59.32550758311136),POINT (675382.4293872416 6580357.548396598)
79,2391,136871,"59.3182306, 18.06495189925373",© Google,2022-09,59.31834566967007,18.06568485056308,SMEATiS9PVBzDI8krez1Pw,OK,"59.31834566967007, 18.06568485056308",763.3055276953928,POINT (18.06568485056308 59.31834566967007),POINT (674462.25076662 6579516.3738674745)
80,2409,119163,"59.32119287924528, 18.05809059141791",© Google,2023-03,59.32114669832416,18.05813442246247,H75YldGaWe3vqW36ScKDyw,OK,"59.32114669832416, 18.05813442246247",765.7205757900471,POINT (18.05813442246247 59.32114669832416),POINT (674018.4446195187 6579808.314678553)
81,2410,169077,"59.319397558490564, 18.07726706716418",© Google,2022-11,59.31940905269737,18.07735159549076,JBEvXB6hyjcmYZgQ1MzlXw,OK,"59.31940905269737, 18.07735159549076",765.7316484003003,POINT (18.07735159549076 59.31940905269737),POINT (675120.4059933713 6579665.331232403)
82,2416,168669,"59.33052854716981, 18.07709113619403",© Google,2022-08,59.33044683670428,18.07740643456376,87Q8Vu0VslCP0AhL2dXhSw,OK,"59.33044683670428, 18.07740643456376",766.1564534124519,POINT (18.07740643456376 59.33044683670428),POINT (675066.7299461446 6580893.750561256)
83,2462,161668,"59.331336441509436, 18.07445217164179",© Google,2023-03,59.33129575357318,18.07472969040246,V9rqbMl4p1vIl8qA4bjikw,OK,"59.33129575357318, 18.07472969040246",771.7469234307626,POINT (18.07472969040246 59.33129575357318),POINT (674910.1615898662 6580981.182257307)
84,2496,148687,"59.31796130188679, 18.06952610447761",© Google,2022-09,59.31797662044659,18.0695378726595,Gg7CrRnwVcwwd8GDi0S7VA,OK,"59.31797662044659, 18.0695378726595",775.3199628334556,POINT (18.0695378726595 59.31797662044659),POINT (674683.3122785579 6579485.407546878)
