Location_idx,Location,Unnamed: 2
9646,"59.32693790566038, 18.0019686119403",
9777,"59.317512471698116, 18.002144542910447",
9778,"59.31760223773585, 18.002144542910447",
9779,"59.31769200377359, 18.002144542910447",
9780,"59.31778176981132, 18.002144542910447",
9781,"59.31787153584906, 18.002144542910447",
9782,"59.31796130188679, 18.002144542910447",
9821,"59.32684813962264, 18.002144542910447",
9822,"59.32693790566038, 18.002144542910447",
9954,"59.317512471698116, 18.002320473880594",
9955,"59.31760223773585, 18.002320473880594",
9956,"59.31769200377359, 18.002320473880594",
9957,"59.31778176981132, 18.002320473880594",
9958,"59.31787153584906, 18.002320473880594",
9959,"59.31796130188679, 18.002320473880594",
9998,"59.32675837358491, 18.002320473880594",
9999,"59.32684813962264, 18.002320473880594",
10000,"59.32693790566038, 18.002320473880594",
10136,"59.317512471698116, 18.002496404850746",
10137,"59.31760223773585, 18.002496404850746",
10138,"59.31769200377359, 18.002496404850746",
10139,"59.31778176981132, 18.002496404850746",
10140,"59.31787153584906, 18.002496404850746",
10141,"59.31796130188679, 18.002496404850746",
10142,"59.31805106792453, 18.002496404850746",
10183,"59.32684813962264, 18.002496404850746",
10184,"59.32693790566038, 18.002496404850746",
10324,"59.317512471698116, 18.002672335820893",
10325,"59.31760223773585, 18.002672335820893",
10326,"59.31769200377359, 18.002672335820893",
10327,"59.31778176981132, 18.002672335820893",
10328,"59.31787153584906, 18.002672335820893",
10329,"59.31796130188679, 18.002672335820893",
10330,"59.31805106792453, 18.002672335820893",
10504,"59.316525045283015, 18.002848266791045",
10505,"59.316614811320754, 18.002848266791045",
10515,"59.317512471698116, 18.002848266791045",
10516,"59.31760223773585, 18.002848266791045",
10517,"59.31769200377359, 18.002848266791045",
10518,"59.31778176981132, 18.002848266791045",
10519,"59.31787153584906, 18.002848266791045",
10520,"59.31796130188679, 18.002848266791045",
10521,"59.31805106792453, 18.002848266791045",
10708,"59.316345513207544, 18.003024197761192",
10709,"59.31643527924528, 18.003024197761192",
10710,"59.316525045283015, 18.003024197761192",
10711,"59.316614811320754, 18.003024197761192",
10722,"59.31760223773585, 18.003024197761192",
10723,"59.31769200377359, 18.003024197761192",
10724,"59.31778176981132, 18.003024197761192",
10725,"59.31787153584906, 18.003024197761192",
10726,"59.31796130188679, 18.003024197761192",
10727,"59.31805106792453, 18.003024197761192",
10728,"59.31814083396226, 18.003024197761192",
10926,"59.31625574716981, 18.003200128731343",
10927,"59.316345513207544, 18.003200128731343",
10928,"59.31643527924528, 18.003200128731343",
10929,"59.316525045283015, 18.003200128731343",
10930,"59.316614811320754, 18.003200128731343",
10942,"59.31769200377359, 18.003200128731343",
10943,"59.31778176981132, 18.003200128731343",
10944,"59.31787153584906, 18.003200128731343",
10945,"59.31796130188679, 18.003200128731343",
10946,"59.31805106792453, 18.003200128731343",
10947,"59.31814083396226, 18.003200128731343",
11148,"59.31625574716981, 18.00337605970149",
11149,"59.316345513207544, 18.00337605970149",
11150,"59.31643527924528, 18.00337605970149",
11151,"59.316525045283015, 18.00337605970149",
11165,"59.31778176981132, 18.00337605970149",
11166,"59.31787153584906, 18.00337605970149",
11167,"59.31796130188679, 18.00337605970149",
11168,"59.31805106792453, 18.00337605970149",
11169,"59.31814083396226, 18.00337605970149",
11170,"59.3182306, 18.00337605970149",
11375,"59.31643527924528, 18.003551990671642",
11390,"59.31778176981132, 18.003551990671642",
11391,"59.31787153584906, 18.003551990671642",
11392,"59.31796130188679, 18.003551990671642",
11393,"59.31805106792453, 18.003551990671642",
12752,"59.33770983018868, 18.004431645522388",
13008,"59.33762006415095, 18.004607576492536",
13267,"59.33753029811321, 18.004783507462687",
13504,"59.3347475509434, 18.004959438432834",
13505,"59.33483731698113, 18.004959438432834",
